skill_name,display_title,trader_question,description,category,stage,difficulty,answer_readiness,core_calls,core_capabilities,example_prompts
birdeye-liquidity-pool-analysis,💧 Liquidity Pool Analysis,How liquid is this token and where is that liquidity?,Combine current indexed token liquidity with the markets and pools where the token trades.,Token Analysis,RESEARCH,Intermediate,ATOMIC_TYPED_PATH,token liquidity; token pools,"Show the token's current indexed liquidity and valuation context.; List the Birdeye-indexed markets or pools where the token trades.; Report pool address, exchange identity and available reserve or activity fields with pagination coverage.","Where is the liquidity for <token address>, and how deep is it?; List the main pools for this token and show the liquidity Birdeye currently indexes."
birdeye-holder-distribution-analysis,👥 Holder Distribution Analysis,How concentrated is this token's observable holder distribution?,"Analyze holder distribution, concentration bands, smart-money presence and top-trader context with disclosed coverage.",Token Analysis,RESEARCH,Advanced,ANALYTICAL_EVIDENCE_PATH,holder-analysis run,Analyze the indexed holder ranking and holder-stat snapshots under a disclosed denominator policy.; Calculate observable concentration bands and distinguish holder balance from trader performance.; Add smart-money and top-trader context only where the underlying endpoints provide it.,"How concentrated are the holders of <token address>?; Do the top holders control too much of this token, based on Birdeye's indexed coverage?"
birdeye-top-holders,🐋 Top Token Holders,Who are the largest indexed holders of this token?,Return the highest-balance indexed token holders with pagination and denominator limitations kept visible.,Token Analysis,RESEARCH,Basic,ATOMIC_TYPED_PATH,token holder-ranking,"Return the largest indexed holders for a Solana token.; Show wallet address, indexed balance or share fields and requested ordering when available.; Disclose pagination and denominator limits; do not claim cost basis, P&L, labels or funding source when x402 does not provide them.",Who are the biggest holders of <token address>?; Show the top 20 indexed holders and their observable shares.
birdeye-top-token-traders,🏅 Top Token Traders,Who are the top traders for this token over the selected period?,Rank indexed token traders by the selected Birdeye metric and time frame.,Token Analysis,RESEARCH,Basic,ATOMIC_TYPED_PATH,token traders,"Rank the token's indexed traders using the chosen Birdeye ordering and time frame.; Show the trading metrics returned for each wallet, including buy, sell, volume or P&L fields when present.; Keep wallet labels and funding-source claims out unless they are explicitly returned by the endpoint.",Who are the top traders for <token address> this week?; Show the most profitable indexed traders for this token over 30 days.
birdeye-token-kline-chart,📊 Token Kline Data,What does this token's recent OHLCV history look like?,Fetch bounded token candlesticks for the requested resolution and time window.,Token Analysis,RESEARCH,Basic,ATOMIC_TYPED_PATH,market kline,"Fetch OHLCV candles for an exact Solana token address.; Support a caller-selected resolution and Unix time window.; Return open, high, low, close, volume and candle timestamps with gaps and coverage disclosed.",Show 5-minute candles for <token address> over the last 24 hours.; Get the 1-hour OHLCV history for this token for the past 7 days.
birdeye-large-trade-scanner,🐳 Large Token Trades,What unusually large trades hit this token recently?,Scan recent token transactions ordered by USD volume and preserve the requested observation window.,Token Analysis,RESEARCH,Intermediate,ATOMIC_TYPED_PATH,token large-trades,"Fetch recent indexed token transactions and order the observable trades by USD size.; Preserve direction, wallet, token amount, USD value and timestamp when returned.; Keep the scan window, page limit and any ambiguous transaction direction visible.",What were the biggest trades in <token address> during the last hour?; Show the 20 largest recent indexed trades for this token.
birdeye-token-trade-activity,🔄 Token Trade Activity,What buys and sells happened for this token recently?,Return recent indexed token trades for a bounded window with direction and pagination evidence.,Token Analysis,RESEARCH,Basic,ATOMIC_TYPED_PATH,token trades,"Return recent indexed buys and sells for an exact token address.; Filter by transaction type and bounded time range where the endpoint supports it.; Show timestamp, side, amount, USD value, wallet and transaction identity when present.",Show recent buys and sells for <token address>.; What trades happened in this token during the last 30 minutes?
birdeye-token-mint-burn-activity,🔥 Token Mint & Burn Activity,Was this token minted or burned recently?,Inspect indexed mint and burn transactions for a token over the selected period.,Token Analysis,RESEARCH,Intermediate,ATOMIC_TYPED_PATH,token mint-burn,"Inspect indexed mint and burn transactions for one token.; Show event type, amount, timestamp, transaction identity and involved accounts when present.; Keep the observation window and index coverage explicit; no events means none observed, not proof none occurred.",Was <token address> minted or burned recently?; Show mint and burn events for this token in the last 24 hours.
birdeye-token-transfer-activity,📨 Token Transfer Activity,What token transfers occurred during the selected window?,Inspect a token's indexed transfer events and total transfer coverage for a bounded window.,Token Analysis,RESEARCH,Intermediate,ATOMIC_TYPED_PATH,token transfers,"Inspect indexed token transfers over a bounded time window.; Show sender, receiver, amount, timestamp and transaction identity when present.; Report transfer totals and pagination coverage separately from the returned event sample.",Show recent transfers for <token address>.; What transfers happened in this token during the last hour?
birdeye-token-due-diligence,🧪 Token Due Diligence,Does this token deserve deeper investigation?,"Build one evidence-linked dossier across identity, price, security, liquidity, holder concentration and top-trader observations.",Token Analysis,DECIDE,Advanced,ANALYTICAL_EVIDENCE_PATH,token-dd run,"Build one dossier across token identity, price, security, liquidity, holder distribution and top-trader evidence.; Keep each section endpoint-linked so the trader can see which evidence supports each observation.; Return a research priority and material unknowns, not an automatic buy or safe-token verdict.",Do a full Birdeye due-diligence check on <token address>.; What should worry me about this token before I spend more time on it?
birdeye-wallet-trade-history,📝 Wallet Trade History,What has this wallet traded recently?,Query a wallet's indexed trade history for a bounded period without mislabeling it as current holdings.,Wallet Intelligence,RESEARCH,Basic,ATOMIC_TYPED_PATH,wallet activity,"Return a wallet's indexed swap and trading history for a bounded window.; Filter by transaction type, token and time where supported.; Show token, direction, amount, USD value, timestamp and transaction identity without calling the result current holdings.",What has <wallet address> traded in the last 7 days?; Show recent sells by this wallet for <token address>.
birdeye-wallet-recent-sells,📤 Wallet Recent Sells,What has this wallet sold recently?,Show a wallet's recent observable sells while excluding ambiguous transactions rather than guessing direction.,Wallet Intelligence,MONITOR,Basic,ATOMIC_TYPED_PATH,wallet sells,"Filter a wallet's indexed recent activity to observable sells.; Exclude transactions whose side cannot be classified reliably.; Show sold token, amount, USD value and timestamp with the selected lookback window.",What did <wallet address> sell today?; Show this wallet's recent sells in the last 6 hours.
birdeye-wallet-net-buying,💸 Wallet Net Buying,What tokens is this wallet buying more than selling?,Compare indexed buys and sells to identify positive observed token flow for one wallet.,Wallet Intelligence,MONITOR,Intermediate,ANALYTICAL_EVIDENCE_PATH,wallet net-flow,"Aggregate indexed buys and sells by token for one wallet.; Rank tokens where observed buy value exceeds observed sell value during the selected window.; Show gross buys, gross sells, net flow, trade count and coverage rather than implying current ownership.",What tokens is <wallet address> net buying this week?; Where has this wallet's positive net flow gone in the last 24 hours?
birdeye-wallet-pnl-analysis,💵 Wallet P&L Analysis,What P&L can be reconstructed from this wallet's indexed trades?,Reconstruct covered wallet performance over a disclosed window without claiming complete provider P&L.,Wallet Intelligence,RESEARCH,Advanced,ANALYTICAL_EVIDENCE_PATH,wallet pnl,"Reconstruct wallet performance from the indexed trades available in the selected window.; Show covered realized outcomes, wins, losses, trade counts and reconstruction assumptions.; State that the result is not provider-complete wallet P&L and does not include unsupported current-position data.","Reconstruct the last 30 days of P&L for <wallet address>.; How profitable does this wallet look from Birdeye's indexed trades, and what is missing?"
birdeye-wallet-trading-style,🎯 Wallet Trading Style,How does this wallet trade?,"Profile observable holding duration, trade cadence, outcomes, repeatability and recent performance trend.",Wallet Intelligence,RESEARCH,Advanced,ANALYTICAL_EVIDENCE_PATH,wallet-analysis run,"Profile observable trade cadence, holding duration, position repetition and outcome distribution.; Describe whether the wallet behaves more like a fast trader, swing trader or slower holder only when the evidence supports it.; Show sample size, coverage window and uncertainty behind every style label.","How does <wallet address> usually trade?; Does this wallet flip quickly or hold positions longer, based on the last 30 days?"
birdeye-wallet-copy-trade-assessment,⚖️ Wallet Copy-Trade Assessment,Would this wallet's observed results survive my copy-trading constraints?,"Assess track-record quality and copyability under explicit position-size, liquidity and execution-delay assumptions.",Wallet Intelligence,DECIDE,Advanced,ANALYTICAL_EVIDENCE_PATH,wallet-score run,"Score the observable track record separately from copyability.; Stress the result with caller-supplied position size and execution-delay assumptions using available market liquidity context.; Explain failure modes, sample size and missing current-holdings data before giving a research verdict.",Is <wallet address> realistically copyable with a $500 position and 30-second delay?; Would this wallet's observed edge survive my execution constraints?
birdeye-compare-smart-money-wallets,🏁 Compare Smart-Money Wallets,Which of these wallets looks stronger on the same observed metrics?,"Compare two or more wallets over the same period, coverage and reconstructed performance method.",Wallet Intelligence,DECIDE,Advanced,ANALYTICAL_EVIDENCE_PATH,wallet compare,"Compare at least two wallet addresses over the same time window and reconstruction method.; Rank them on shared observed metrics rather than mixing unequal periods or coverage.; Show the metric-by-metric evidence, sample-size differences and reasons a winner may still be unsuitable to copy.","Compare these three wallets over the last 30 days: <wallets>.; Which of these wallets looks strongest on the same win, P&L and trading-frequency evidence?"
birdeye-dev-created-tokens,👩🏻‍🍳 Dev Created Tokens,What Birdeye-indexed launchpad tokens did this developer create?,List indexed launchpad tokens associated with a supplied developer wallet.,Wallet Intelligence,RESEARCH,Basic,ATOMIC_TYPED_PATH,wallet created-tokens,"List Birdeye-indexed launchpad tokens associated with a supplied creator wallet.; Show token identity, launchpad, creation time, graduation state and current market fields when present.; Keep index coverage visible and do not claim a complete creator history outside supported launchpad data.",What tokens did <developer wallet> create?; List this developer's indexed launches and show which ones graduated.
birdeye-dev-launch-track-record,🧐 Dev Launch Track Record,How did this developer's indexed token launches perform?,Review a developer's indexed launch history and compare current observable market outcomes consistently.,Wallet Intelligence,RESEARCH,Advanced,ANALYTICAL_EVIDENCE_PATH,dev-analysis run,"Review a developer's indexed token launches using a consistent outcome window and market-data method.; Summarize launch count, observed graduation or survival outcomes and current market context where available.; Surface missing launches and coverage limits before assigning any reputation interpretation.",How have the tokens created by <developer wallet> performed?; Does this developer have a repeatable launch track record in Birdeye's indexed data?
birdeye-token-smart-money-trades,🧠 Smart-Money Trades for a Token,What smart-money activity is visible for this token?,Inspect token-specific smart-money evidence over a bounded recent window.,Wallet Intelligence,MONITOR,Intermediate,ANALYTICAL_EVIDENCE_PATH,track smart-money-token,"Inspect smart-money activity associated with one token over a bounded window.; Show wallets, direction, amount, value and timestamp when the underlying evidence provides them.; Separate provider smart-money labels from the agent's interpretation and disclose missing label coverage.",What smart-money activity is visible in <token address> today?; Are Birdeye smart-money wallets buying or selling this token recently?
birdeye-selected-kol-wallet-activity,📡 Selected KOL Wallet Activity,What did these selected KOL wallets trade recently?,Track recent trades for caller-supplied KOL wallet addresses without inventing a provider KOL directory.,Wallet Intelligence,MONITOR,Intermediate,ATOMIC_TYPED_PATH,track kol,Track recent indexed trades for caller-supplied KOL wallet addresses.; Combine the selected wallets into one time-ordered activity view with wallet identity preserved.; Never imply that the supplied list is Birdeye's complete KOL universe.,What did these KOL wallets trade today: <wallets>?; Show only the recent buys from this list of KOL wallets.
birdeye-wallet-activity-feed,❤️ Wallet Activity Feed,What did this wallet trade in the last 24 hours?,Fetch a wallet's latest indexed trading activity over a practical default one-day window.,Monitor,MONITOR,Basic,ATOMIC_TYPED_PATH,track wallet,"Fetch one wallet's latest indexed activity for the last 24 hours by default.; Show token, direction, amount, USD value and timestamp when available.; Allow a different bounded time window and transaction filters while preserving pagination coverage.",What did <wallet address> trade in the last 24 hours?; Show this wallet's latest buys today.
birdeye-wallet-exit-destination,🚪 Wallet Exit Destination,Where did this wallet's observable activity go after reducing a token?,Trace observable activity following a wallet's reduction of a named token without making unsupported causal fund-flow claims.,Monitor,MONITOR,Advanced,ANALYTICAL_EVIDENCE_PATH,track exit,Find the observable activity that followed a wallet's reduction of a specified token.; Order subsequent swaps and transfers by time and show the destination assets actually observed.; Avoid claiming causal fund tracing when the indexed events do not prove where the same proceeds went.,"After <wallet address> sold <token address>, what did it do next?; Where did this wallet's observable activity go after exiting this token?"
birdeye-wallet-post-sell-rotation,🔁 Wallet Post-Sell Rotation,What did this wallet buy after selling the token?,Identify the same wallet's observable buys after a named-token sale within a bounded window.,Monitor,MONITOR,Advanced,ANALYTICAL_EVIDENCE_PATH,track rotation,Identify a specified token sale and search the same wallet's subsequent indexed buys.; Rank or sequence the post-sale purchases within a bounded follow-up window.; Show timing gaps and exclude buys that occurred before the observed sale.,What did <wallet address> buy after selling <token address>?; Show this wallet's post-sell rotation during the next 6 hours.
birdeye-token-liquidity-change,💧 Token Liquidity Change,How has this token's indexed liquidity changed since my last snapshot?,Compare current indexed token liquidity with a compatible caller-supplied baseline.,Monitor,MONITOR,Intermediate,ANALYTICAL_EVIDENCE_PATH,monitor token-liquidity,Compare the token's current indexed liquidity with a compatible prior snapshot.; Calculate absolute and percentage change while preserving both observed values and timestamps.; Require a baseline and refuse to present a current snapshot as a change alert.,Has liquidity for <token address> dropped since my last snapshot?; Compare current liquidity with this baseline and flag a change over 20%.
birdeye-token-security-change,🚨 Token Security Change,What token security fields changed since my last snapshot?,Compare current observable token security fields with a compatible caller-supplied baseline.,Monitor,MONITOR,Intermediate,ANALYTICAL_EVIDENCE_PATH,monitor token-security,"Compare current token-security fields with a compatible prior snapshot.; List added, removed and changed values without assigning safety to missing fields.; Require a baseline and preserve the exact before/after evidence.",Did any security fields change for <token address> since this snapshot?; Compare this token's current authority fields with my last check.
birdeye-bonding-curve-progress,📶 Bonding-Curve Progress,How has this token's bonding-curve progress changed?,Compare current bonding-curve progress with a compatible baseline for the same launchpad token.,Monitor,MONITOR,Intermediate,ANALYTICAL_EVIDENCE_PATH,monitor bonding-curve,"Compare current bonding-curve progress with a prior snapshot for the same token.; Show progress delta, graduation state, observation times and launchpad identity.; Require a compatible baseline and keep a simple current-status lookup separate from monitoring.",How much has <token address> moved up its bonding curve since my last check?; Compare this token's progress with the baseline and tell me whether it is nearing graduation.
birdeye-graduation-status-change,🎓 Graduation Status Change,Did this launchpad token graduate since my last snapshot?,Compare indexed launch and graduation status against a caller-supplied baseline.,Monitor,MONITOR,Intermediate,ANALYTICAL_EVIDENCE_PATH,monitor graduation,Compare the current launchpad graduation state with a prior snapshot.; Report the transition and any observed graduation timestamp.; Require the same token and a compatible baseline before claiming a status change.,Did <token address> graduate since my last snapshot?; Compare this launchpad token's current graduation status with the baseline.
birdeye-holder-concentration-change,🐋 Holder Concentration Change,Has this token's holder concentration changed materially?,Compare current observable holder concentration with a compatible prior snapshot and denominator policy.,Monitor,MONITOR,Advanced,ANALYTICAL_EVIDENCE_PATH,monitor holders,"Recalculate observable holder concentration under the same denominator and ranking policy as the baseline.; Show absolute and relative changes for the tracked concentration bands.; Refuse comparison when pagination, denominator or token identity is incompatible.",Has holder concentration increased for <token address> since my last check?; Compare the top-holder share with this compatible baseline.
birdeye-pool-activity-change,🌊 Pool Activity Change,How has this pool's trading activity changed?,Compare current indexed pool activity with a compatible baseline over the same observation window.,Monitor,MONITOR,Advanced,ANALYTICAL_EVIDENCE_PATH,monitor pool,"Compare current pool trading activity with a compatible prior snapshot for the same pair.; Show changes in observable trade count, volume and liquidity fields over matching windows.; Require a pair address, matched window policy and caller baseline before claiming a change.",Has activity in <pair address> changed since this snapshot?; Compare this pool's current volume and trade count with the same window yesterday.
birdeye-token-wallet-watchlist,👀 Token & Wallet Watchlist Check,What materially changed for this watched token and wallet?,Run a bounded token-and-wallet change check against the caller's compatible watchlist baseline.,Monitor,MONITOR,Advanced,ANALYTICAL_EVIDENCE_PATH,monitor watchlist,Run a bounded change check for one watched token and one watched wallet.; Combine only the token and wallet observations declared by the watchlist workflow and compare them with the caller baseline.; Return section-level failures and material changes without treating the check as a persistent Birdeye-hosted watchlist.,What materially changed for <token address> and <wallet address> since this watchlist snapshot?; Check this token-wallet pair and show only changes that pass my baseline thresholds.
